type,time,data,id
HEARTBEAT_OK,2025-09-09/11/25_20-37-50_270063,{'count': 47},50
HEARTBEAT,381276409,{'count': 48},51
HEARTBEAT_OK,2025-09-09/11/25_20-37-50_377194,{'count': 48},51
HEARTBEAT,381276512,{'count': 49},52
HEARTBEAT_OK,2025-09-09/11/25_20-37-50_479963,{'count': 49},52
HEARTBEAT,381276619,{'count': 50},53
HEARTBEAT_OK,2025-09-09/11/25_20-37-50_587074,{'count': 50},53
SESSION,381324424,{'session': 0},54
INSTRUCT,381327361,{},55
ORIENT,381331085,{},56
WORD,381333079,"{'word': 'BURGER/TUNDRA', 'serialpos': '0', 'stim': False}",57
TRIALEND,381337079,{},58
ORIENT,381340079,{},59
WORD,381342079,"{'word': 'TRAILER/GRANOLA', 'serialpos': '1', 'stim': False}",60
TRIALEND,381346079,{},61
ORIENT,381349080,{},62
WORD,381351079,"{'word': 'PAN/TELEGRAM', 'serialpos': '2', 'stim': False}",63
TRIALEND,381355079,{},64
ORIENT,381358079,{},65
WORD,381360079,"{'word': 'DOORWAY/DUMPLING', 'serialpos': '3', 'stim': False}",66
TRIALEND,381364087,{},67
ORIENT,381367080,{},68
WORD,381369079,"{'word': 'UNCLE/MOSAIC', 'serialpos': '4', 'stim': False}",69
TRIALEND,381373079,{},70
ORIENT,381376080,{},71
WORD,381378079,"{'word': 'MUTTON/STOOL', 'serialpos': '5', 'stim': False}",72
TRIALEND,381382086,{},73
ORIENT,381385080,{},74
WORD,381387079,"{'word': 'PLUNGER/APRON', 'serialpos': '6', 'stim': False}",75
TRIALEND,381391079,{},76
ORIENT,381394079,{},77
WORD,381396079,"{'word': 'FLOUR/INCUBATOR', 'serialpos': '7', 'stim': False}",78
TRIALEND,381400087,{},79
ORIENT,381403087,{},80
WORD,381405079,"{'word': 'WALLET/GORILLA', 'serialpos': '8', 'stim': False}",81
TRIALEND,381409079,{},82
ORIENT,381412079,{},83
WORD,381414087,"{'word': 'CROISSANT/PYTHON', 'serialpos': '9', 'stim': False}",84
TRIALEND,381418079,{},85
ORIENT,381421080,{},86
WORD,381423079,"{'word': 'ICICLE/LIGHT', 'serialpos': '10', 'stim': False}",87
TRIALEND,381427079,{},88
ORIENT,381430080,{},89
WORD,381432079,"{'word': 'FABRIC/TOOTHPICK', 'serialpos': '11', 'stim': False}",90
TRIALEND,381436079,{},91
ORIENT,381439079,{},92
WORD,381441086,"{'word': 'PAPER/OCEAN', 'serialpos': '12', 'stim': False}",93
TRIALEND,381445079,{},94
ORIENT,381448079,{},95
WORD,381450079,"{'word': 'STUDIO/THIGH', 'serialpos': '13', 'stim': False}",96
TRIALEND,381454085,{},97
ORIENT,381457079,{},98
WORD,381459079,"{'word': 'REFEREE/MANGO', 'serialpos': '14', 'stim': False}",99
TRIALEND,381463079,{},100
ORIENT,381466079,{},101
WORD,381468079,"{'word': 'DENTIST/HYDRANT', 'serialpos': '15', 'stim': False}",102
TRIALEND,381472079,{},103
ORIENT,381475079,{},104
WORD,381477086,"{'word': 'COD/YACHT', 'serialpos': '16', 'stim': False}",105
TRIALEND,381481079,{},106
ORIENT,381484079,{},107
WORD,381486079,"{'word': 'SHOELACE/CASHMERE', 'serialpos': '17', 'stim': False}",108
TRIALEND,381490084,{},109
ORIENT,381493080,{},110
WORD,381495079,"{'word': 'VIPER/DOG', 'serialpos': '18', 'stim': False}",111
TRIALEND,381499079,{},112
ORIENT,381502079,{},113
WORD,381504085,"{'word': 'GULF/ANCHOVY', 'serialpos': '19', 'stim': False}",114
TRIALEND,381508079,{},115
ORIENT,381511080,{},116
WORD,381513079,"{'word': 'TROUT/BULLDOZER', 'serialpos': '20', 'stim': False}",117
TRIALEND,381517085,{},118
ORIENT,381520080,{},119
WORD,381522079,"{'word': 'VERMIN/YARD', 'serialpos': '21', 'stim': False}",120
TRIALEND,381526086,{},121
ORIENT,381529079,{},122
WORD,381531079,"{'word': 'NUN/PLANK', 'serialpos': '22', 'stim': False}",123
TRIALEND,381535079,{},124
ORIENT,381538080,{},125
WORD,381540086,"{'word': 'BACKPACK/PEBBLE', 'serialpos': '23', 'stim': False}",126
TRIALEND,381544079,{},127
ORIENT,381547079,{},128
WORD,381549079,"{'word': 'FOREST/MAPLE', 'serialpos': '24', 'stim': False}",129
TRIALEND,381553079,{},130
ORIENT,381556079,{},131
WORD,381558079,"{'word': 'COTTON/SPATULA', 'serialpos': '25', 'stim': False}",132
TRIALEND,381562087,{},133
ORIENT,381565079,{},134
WORD,381567079,"{'word': 'JACKET/PIG', 'serialpos': '26', 'stim': False}",135
TRIALEND,381571079,{},136
ORIENT,381574080,{},137
WORD,381576085,"{'word': 'QUILL/LIMOUSINE', 'serialpos': '27', 'stim': False}",138
TRIALEND,381580079,{},139
ORIENT,381583079,{},140
WORD,381585079,"{'word': 'DEPUTY/BEARD', 'serialpos': '28', 'stim': False}",141
TRIALEND,381589079,{},142
ORIENT,381592079,{},143
WORD,381594087,"{'word': 'ALFALFA/MOTHER', 'serialpos': '29', 'stim': False}",144
TRIALEND,381598079,{},145
ORIENT,381601079,{},146
WORD,381603086,"{'word': 'PILL/LAWNMOWER', 'serialpos': '30', 'stim': False}",147
TRIALEND,381607079,{},148
ORIENT,381610080,{},149
WORD,381612079,"{'word': 'NURSE/SALINE', 'serialpos': '31', 'stim': False}",150
TRIALEND,381616085,{},151
ORIENT,381619079,{},152
WORD,381621079,"{'word': 'NUCLEUS/DRESSER', 'serialpos': '32', 'stim': False}",153
TRIALEND,381625079,{},154
ORIENT,381628079,{},155
WORD,381630079,"{'word': 'ATHLETE/KNIFE', 'serialpos': '33', 'stim': False}",156
TRIALEND,381634079,{},157
ORIENT,381637079,{},158
WORD,381639079,"{'word': 'RUBBER/ARK', 'serialpos': '34', 'stim': False}",159
TRIALEND,381643079,{},160
ORIENT,381646080,{},161
WORD,381648087,"{'word': 'BLENDER/CARD', 'serialpos': '35', 'stim': False}",162
TRIALEND,381652079,{},163
ORIENT,381655079,{},164
WORD,381657079,"{'word': 'ORNAMENT/ORPHANAGE', 'serialpos': '36', 'stim': False}",165
TRIALEND,381661086,{},166
ORIENT,381664080,{},167
WORD,381666079,"{'word': 'MAST/SPROUT', 'serialpos': '37', 'stim': False}",168
TRIALEND,381670079,{},169
ORIENT,381673080,{},170
WORD,381675086,"{'word': 'NERVE/DENIM', 'serialpos': '38', 'stim': False}",171
TRIALEND,381679079,{},172
ORIENT,381682079,{},173
WORD,381684079,"{'word': 'CHERRY/CHURCH', 'serialpos': '39', 'stim': False}",174
TRIALEND,381688079,{},175
ORIENT,381691080,{},176
WORD,381693079,"{'word': 'BEVERAGE/VINE', 'serialpos': '40', 'stim': False}",177
TRIALEND,381697085,{},178
ORIENT,381700079,{},179
WORD,381702079,"{'word': 'BABOON/WOLF', 'serialpos': '41', 'stim': False}",180
TRIALEND,381706085,{},181
ORIENT,381709080,{},182
WORD,381711079,"{'word': 'MUMMY/PARSNIP', 'serialpos': '42', 'stim': False}",183
TRIALEND,381715079,{},184
ORIENT,381718079,{},185
WORD,381720086,"{'word': 'TAMALE/MAGICIAN', 'serialpos': '43', 'stim': False}",186
TRIALEND,381724079,{},187
ORIENT,381727079,{},188
WORD,381729079,"{'word': 'TRACTOR/CROSS', 'serialpos': '44', 'stim': False}",189
TRIALEND,381733087,{},190
MATH,381737080,"{'problem': 'math.slog', 'response': 'math.slog', 'response_time_ms': 0, 'correct': True}",192
ORIENT,381896249,{},193
TRIALEND,381902243,{},194
ORIENT,381905250,{},195
TRIALEND,381911243,{},196
ORIENT,381914243,{},197
TRIALEND,381920243,{},198
ORIENT,381923244,{},199
TRIALEND,381929243,{},200
ORIENT,381932243,{},201
TRIALEND,381938243,{},202
ORIENT,381941243,{},203
TRIALEND,381947243,{},204
ORIENT,381950244,{},205
TRIALEND,381956243,{},206
ORIENT,381959244,{},207
TRIALEND,381965243,{},208
ORIENT,381968244,{},209
TRIALEND,381974243,{},210
ORIENT,381977244,{},211
TRIALEND,381983248,{},212
ORIENT,381986244,{},213
TRIALEND,381992243,{},214
ORIENT,381995243,{},215
TRIALEND,382001243,{},216
ORIENT,382004243,{},217
TRIALEND,382010249,{},218
ORIENT,382013243,{},219
TRIALEND,382019243,{},220
ORIENT,382022243,{},221
TRIALEND,382028243,{},222
ORIENT,382031244,{},223
TRIALEND,382037243,{},224
ORIENT,382040243,{},225
TRIALEND,382046243,{},226
ORIENT,382049243,{},227
TRIALEND,382055243,{},228
ORIENT,382058243,{},229
TRIALEND,382064243,{},230
ORIENT,382067244,{},231
TRIALEND,382073243,{},232
ORIENT,382076244,{},233
TRIALEND,382082243,{},234
ORIENT,382085243,{},235
TRIALEND,382091243,{},236
ORIENT,382094243,{},237
TRIALEND,382100243,{},238
ORIENT,382103243,{},239
TRIALEND,382109243,{},240
ORIENT,382112244,{},241
TRIALEND,382118243,{},242
ORIENT,382121243,{},243
TRIALEND,382127243,{},244
ORIENT,382130243,{},245
TRIALEND,382136243,{},246
ORIENT,382139244,{},247
TRIALEND,382145243,{},248
ORIENT,382148243,{},249
TRIALEND,382154243,{},250
ORIENT,382157243,{},251
TRIALEND,382163243,{},252
ORIENT,382166243,{},253
TRIALEND,382172243,{},254
ORIENT,382175243,{},255
TRIALEND,382181243,{},256
ORIENT,382184244,{},257
TRIALEND,382190243,{},258
ORIENT,382193244,{},259
TRIALEND,382199243,{},260
ORIENT,382202244,{},261
TRIALEND,382208243,{},262
ORIENT,382211243,{},263
TRIALEND,382217243,{},264
ORIENT,382220244,{},265
TRIALEND,382226243,{},266
ORIENT,382229244,{},267
TRIALEND,382235243,{},268
ORIENT,382238244,{},269
TRIALEND,382244243,{},270
ORIENT,382247244,{},271
TRIALEND,382253243,{},272
ORIENT,382256243,{},273
TRIALEND,382262243,{},274
ORIENT,382265243,{},275
TRIALEND,382271243,{},276
ORIENT,382274244,{},277
TRIALEND,382280243,{},278
ORIENT,382283244,{},279
TRIALEND,382289243,{},280
ORIENT,382292243,{},281
TRIALEND,382298243,{},282
ORIENT,382301244,{},283
TRIALEND,382307243,{},284
ORIENT,382310243,{},285
TRIALEND,382316243,{},286
ORIENT,382319244,{},287
TRIALEND,382325243,{},288
ORIENT,382328243,{},289
TRIALEND,382334243,{},290
ORIENT,382337244,{},291
TRIALEND,382343243,{},292
ORIENT,382346244,{},293
TRIALEND,382352243,{},294
ORIENT,382355243,{},295
TRIALEND,382361243,{},296
ORIENT,382364243,{},297
TRIALEND,382370243,{},298
ORIENT,382373244,{},299
TRIALEND,382379243,{},300
ORIENT,382382244,{},301
TRIALEND,382388243,{},302
ORIENT,382391243,{},303
TRIALEND,382397243,{},304
ORIENT,382400243,{},305
TRIALEND,382406243,{},306
ORIENT,382409243,{},307
TRIALEND,382415243,{},308
ORIENT,382418244,{},309
TRIALEND,382424243,{},310
ORIENT,382427244,{},311
TRIALEND,382433243,{},312
HEARTBEAT,382442380,{'count': 51},313
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_215395,{'count': 51},313
HEARTBEAT,382442489,{'count': 52},314
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_317641,{'count': 52},314
HEARTBEAT,382442591,{'count': 53},315
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_419486,{'count': 53},315
HEARTBEAT,382442693,{'count': 54},316
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_521418,{'count': 54},316
HEARTBEAT,382442794,{'count': 55},317
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_622302,{'count': 55},317
HEARTBEAT,382442895,{'count': 56},318
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_723876,{'count': 56},318
HEARTBEAT,382442997,{'count': 57},319
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_825647,{'count': 57},319
HEARTBEAT,382443098,{'count': 58},320
HEARTBEAT_OK,2025-09-09/11/25_20-58-39_926715,{'count': 58},320
HEARTBEAT,382443200,{'count': 59},321
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_028601,{'count': 59},321
HEARTBEAT,382443302,{'count': 60},322
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_130705,{'count': 60},322
HEARTBEAT,382443405,{'count': 61},323
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_233255,{'count': 61},323
HEARTBEAT,382443508,{'count': 62},324
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_336573,{'count': 62},324
HEARTBEAT,382443611,{'count': 63},325
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_439055,{'count': 63},325
HEARTBEAT,382443714,{'count': 64},326
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_542582,{'count': 64},326
HEARTBEAT,382443816,{'count': 65},327
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_644647,{'count': 65},327
HEARTBEAT,382443919,{'count': 66},328
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_747296,{'count': 66},328
HEARTBEAT,382444021,{'count': 67},329
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_849458,{'count': 67},329
HEARTBEAT,382444124,{'count': 68},330
HEARTBEAT_OK,2025-09-09/11/25_20-58-40_952555,{'count': 68},330
HEARTBEAT,382444227,{'count': 69},331
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_055827,{'count': 69},331
HEARTBEAT,382444329,{'count': 70},332
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_157913,{'count': 70},332
HEARTBEAT,382444431,{'count': 71},333
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_259466,{'count': 71},333
HEARTBEAT,382444534,{'count': 72},334
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_362798,{'count': 72},334
HEARTBEAT,382444637,{'count': 73},335
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_465914,{'count': 73},335
HEARTBEAT,382444741,{'count': 74},336
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_569069,{'count': 74},336
HEARTBEAT,382444844,{'count': 75},337
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_672289,{'count': 75},337
HEARTBEAT,382444947,{'count': 76},338
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_775404,{'count': 76},338
HEARTBEAT,382445050,{'count': 77},339
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_878634,{'count': 77},339
HEARTBEAT,382445153,{'count': 78},340
HEARTBEAT_OK,2025-09-09/11/25_20-58-41_981913,{'count': 78},340
HEARTBEAT,382445257,{'count': 79},341
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_085106,{'count': 79},341
HEARTBEAT,382445360,{'count': 80},342
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_188282,{'count': 80},342
HEARTBEAT,382445463,{'count': 81},343
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_291668,{'count': 81},343
HEARTBEAT,382445566,{'count': 82},344
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_394792,{'count': 82},344
HEARTBEAT,382445669,{'count': 83},345
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_497924,{'count': 83},345
HEARTBEAT,382445773,{'count': 84},346
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_601082,{'count': 84},346
HEARTBEAT,382445875,{'count': 85},347
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_703664,{'count': 85},347
HEARTBEAT,382445978,{'count': 86},348
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_806843,{'count': 86},348
HEARTBEAT,382446081,{'count': 87},349
HEARTBEAT_OK,2025-09-09/11/25_20-58-42_909993,{'count': 87},349
HEARTBEAT,382446184,{'count': 88},350
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_012636,{'count': 88},350
HEARTBEAT,382446287,{'count': 89},351
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_115913,{'count': 89},351
HEARTBEAT,382446391,{'count': 90},352
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_219013,{'count': 90},352
HEARTBEAT,382446494,{'count': 91},353
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_322192,{'count': 91},353
HEARTBEAT,382446596,{'count': 92},354
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_424869,{'count': 92},354
HEARTBEAT,382446699,{'count': 93},355
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_528000,{'count': 93},355
HEARTBEAT,382446802,{'count': 94},356
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_630487,{'count': 94},356
HEARTBEAT,382446905,{'count': 95},357
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_733662,{'count': 95},357
HEARTBEAT,382447008,{'count': 96},358
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_836780,{'count': 96},358
HEARTBEAT,382447111,{'count': 97},359
HEARTBEAT_OK,2025-09-09/11/25_20-58-43_939533,{'count': 97},359
HEARTBEAT,382447213,{'count': 98},360
HEARTBEAT_OK,2025-09-09/11/25_20-58-44_041537,{'count': 98},360
HEARTBEAT,382447316,{'count': 99},361
HEARTBEAT_OK,2025-09-09/11/25_20-58-44_144814,{'count': 99},361
HEARTBEAT,382447419,{'count': 100},362
HEARTBEAT_OK,2025-09-09/11/25_20-58-44_247924,{'count': 100},362
EXIT,382447523,{},363
